Method,Steps,Train Loss,Train Acc (%),Eval Acc (%)
LoRA-Diffusion,100,0.5652490556240082,80.96587896347046,
Full Fine-tuning,50,0.2620656847953796,82.13330805301666,
Weight LoRA,50,3.236529326438904,44.32769685983658,
Adapters,50,8.987753009796142,5.657237134873867,
BitFit,50,7.965582275390625,40.5369970202446,
